"IndustrySegment","Period","PeriodStartDate","RevenueBucket","Revenue"
"Textiles","Rest of the Records","2021-04-28","2.5m - 3m",2798001
"Coatings & Inks","Rest of the Records","2018-02-18","4.5m - 5m",4946000
"Paper & Packaging","Rest of the Records","2018-08-25","1m - 1.5m",1270000
"Textiles","Rest of the Records","2017-11-18","3.5m - 4m",3855001
"Paper & Packaging","Rest of the Records","2020-04-24","3.5m - 4m",3538001
"Specialty Materials","Rest of the Records","2021-01-11","1.5m - 2m",1777001
"Coatings & Inks","Rest of the Records","2020-08-16","3.5m - 4m",3996001
"Coatings & Inks","Rest of the Records","2020-08-22","3.5m - 4m",3877001
"Specialty Materials","Rest of the Records","2017-06-22","4m - 4.5m",4331001
"Textiles","Rest of the Records","2020-02-04","3m - 3.5m",3094001
"Paper & Packaging","Rest of the Records","2017-08-07","2m - 2.5m",2402001
"Coatings & Inks","Rest of the Records","2018-11-04","2.5m - 3m",2676001
"Specialty Materials","Rest of the Records","2018-11-27","3.5m - 4m",3759001
"Paper & Packaging","Rest of the Records","2019-07-15","4m - 4.5m",4059001
"Textiles","Rest of the Records","2018-04-29","1.5m - 2m",1699001
"Textiles","Rest of the Records","2019-02-15","3m - 3.5m",3002001
"Specialty Materials","Rest of the Records","2018-02-19","4.5m - 5m",4816000
"Coatings & Inks","Rest of the Records","2018-05-18","4.5m - 5m",4833000
"Paper & Packaging","Rest of the Records","2019-05-08","1m - 1.5m",1189000
"Specialty Materials","Rest of the Records","2020-11-23","4.5m - 5m",4735000
"Coatings & Inks","Rest of the Records","2017-08-05","4m - 4.5m",4109001
"Paper & Packaging","Rest of the Records","2020-05-08","2.5m - 3m",2911001
"Textiles","Rest of the Records","2018-10-15","2.5m - 3m",2680001
"Specialty Materials","Rest of the Records","2020-09-16","3m - 3.5m",3242001
"Coatings & Inks","Rest of the Records","2019-02-10","1.5m - 2m",1939001
"Textiles","Rest of the Records","2017-05-18","3.5m - 4m",3707001
"Paper & Packaging","Rest of the Records","2020-01-17","1.5m - 2m",1917001
"Textiles","Rest of the Records","2018-08-14","4m - 4.5m",4382001
"Specialty Materials","Rest of the Records","2020-12-03","1m - 1.5m",1442000
"Paper & Packaging","Rest of the Records","2020-08-29","2.5m - 3m",2884001
"Coatings & Inks","Rest of the Records","2020-06-07","3m - 3.5m",3038001
"Textiles","Rest of the Records","2019-08-23","3.5m - 4m",3960001
"Specialty Materials","One Month Ago","2021-08-19","3m - 3.5m",3160001
"Paper & Packaging","Current Month","2021-09-08","4.5m - 5m",4939000
"Coatings & Inks","Rest of the Records","2019-11-15","2m - 2.5m",2452001
"Coatings & Inks","Four Months Ago","2021-05-01","3m - 3.5m",3114001
"Specialty Materials","Two Months Ago","2021-07-17","4m - 4.5m",4179001
"Paper & Packaging","Rest of the Records","2020-10-14","1m - 1.5m",1291000
"Textiles","Three Months Ago","2021-06-25","1.5m - 2m",1728001
"Coatings & Inks","Rest of the Records","2018-04-27","3.5m - 4m",3964001
"Paper & Packaging","Rest of the Records","2017-12-14","3.5m - 4m",3621001
"Specialty Materials","Rest of the Records","2019-09-12","2m - 2.5m",2384001
"Textiles","Rest of the Records","2020-02-05","4.5m - 5m",4868000
"Textiles","Rest of the Records","2017-05-11","2m - 2.5m",2394001
"Paper & Packaging","Rest of the Records","2017-09-05","2.5m - 3m",2699001
"Specialty Materials","Rest of the Records","2020-06-02","2m - 2.5m",2252001
"Coatings & Inks","Rest of the Records","2021-03-06","3m - 3.5m",3199001
"Specialty Materials","Rest of the Records","2020-08-23","1m - 1.5m",1022000
"Paper & Packaging","Rest of the Records","2017-07-29","1.5m - 2m",1709001
"Textiles","Rest of the Records","2018-11-15","3.5m - 4m",3834001
"Coatings & Inks","Rest of the Records","2019-02-20","1m - 1.5m",1169000
"Coatings & Inks","Rest of the Records","2020-02-08","1m - 1.5m",1442000
"Textiles","Rest of the Records","2020-02-01","3m - 3.5m",3491001
"Paper & Packaging","Rest of the Records","2018-04-19","4m - 4.5m",4442001
"Specialty Materials","Rest of the Records","2018-10-04","2.5m - 3m",2565001
"Textiles","Rest of the Records","2019-04-23","4.5m - 5m",4566000
"Coatings & Inks","Rest of the Records","2017-06-21","4.5m - 5m",4721000
"Specialty Materials","Rest of the Records","2019-01-29","4m - 4.5m",4086001
"Paper & Packaging","Rest of the Records","2019-12-22","3m - 3.5m",3244001
"Paper & Packaging","Rest of the Records","2020-02-01","3.5m - 4m",3846001
"Specialty Materials","Rest of the Records","2018-05-18","1.5m - 2m",1554001
"Coatings & Inks","Rest of the Records","2020-07-25","1.5m - 2m",1845001
"Textiles","Rest of the Records","2020-02-06","3m - 3.5m",3207001
"Textiles","Rest of the Records","2021-04-08","4.5m - 5m",5000000
"Coatings & Inks","Rest of the Records","2019-07-05","2.5m - 3m",2552001
"Paper & Packaging","Rest of the Records","2019-04-10","2m - 2.5m",2127001
"Specialty Materials","Rest of the Records","2018-06-17","3.5m - 4m",3603001
"Paper & Packaging","Rest of the Records","2019-09-14","1m - 1.5m",1063000
"Textiles","Rest of the Records","2017-09-30","4m - 4.5m",4207001
"Specialty Materials","Rest of the Records","2020-03-06","1.5m - 2m",1721001
"Coatings & Inks","Rest of the Records","2020-03-05","2m - 2.5m",2171001
"Specialty Materials","Rest of the Records","2018-06-21","2m - 2.5m",2006001
"Paper & Packaging","Rest of the Records","2019-07-15","1m - 1.5m",1199000
"Coatings & Inks","Rest of the Records","2020-09-07","3m - 3.5m",3483001
"Textiles","Rest of the Records","2021-04-06","3m - 3.5m",3013001
"Paper & Packaging","Rest of the Records","2018-04-05","2m - 2.5m",2279001
"Specialty Materials","Rest of the Records","2020-04-08","2.5m - 3m",2572001
"Textiles","Rest of the Records","2019-11-17","3.5m - 4m",3978001
"Coatings & Inks","Rest of the Records","2020-12-06","4m - 4.5m",4356001
"Specialty Materials","Rest of the Records","2017-10-06","2.5m - 3m",2508001
"Textiles","Rest of the Records","2018-07-09","3m - 3.5m",3225001
"Paper & Packaging","Rest of the Records","2019-03-05","1m - 1.5m",1142000
"Coatings & Inks","Rest of the Records","2018-10-07","1m - 1.5m",1259000
"Coatings & Inks","Rest of the Records","2020-09-04","3.5m - 4m",3710001
"Specialty Materials","Rest of the Records","2017-12-17","1.5m - 2m",1756001
"Textiles","Rest of the Records","2020-10-22","3.5m - 4m",3995001
"Paper & Packaging","Rest of the Records","2018-05-28","4.5m - 5m",4568000
"Paper & Packaging","Rest of the Records","2019-12-07","2m - 2.5m",2258001
"Specialty Materials","Rest of the Records","2019-09-17","4m - 4.5m",4298001
"Coatings & Inks","Rest of the Records","2020-09-11","4m - 4.5m",4113001
"Textiles","Rest of the Records","2021-02-26","1m - 1.5m",1158000
"Coatings & Inks","Two Months Ago","2021-07-02","2m - 2.5m",2145001
"Paper & Packaging","Three Months Ago","2021-06-19","4m - 4.5m",4156001
"Textiles","One Month Ago","2021-08-04","1.5m - 2m",1589001
"Specialty Materials","Rest of the Records","2020-01-05","2.5m - 3m",2825001
"Coatings & Inks","Rest of the Records","2020-11-13","3.5m - 4m",3607001
"Specialty Materials","Four Months Ago","2021-05-13","4.5m - 5m",4831000
"Textiles","Current Month","2021-09-07","4.5m - 5m",4967000
"Paper & Packaging","Rest of the Records","2019-05-24","3.5m - 4m",3834001
"Textiles","Rest of the Records","2020-01-12","2.5m - 3m",2918001
"Specialty Materials","Rest of the Records","2017-05-28","2m - 2.5m",2310001
"Paper & Packaging","Rest of the Records","2019-03-04","3m - 3.5m",3114001
"Coatings & Inks","Rest of the Records","2021-02-22","1.5m - 2m",1748001
"Textiles","Rest of the Records","2018-03-15","4m - 4.5m",4148001
"Specialty Materials","Rest of the Records","2020-12-26","1.5m - 2m",1760001
"Coatings & Inks","Rest of the Records","2021-03-02","3m - 3.5m",3417001
"Paper & Packaging","Rest of the Records","2020-06-28","3.5m - 4m",3999001
"Paper & Packaging","Rest of the Records","2020-10-19","3m - 3.5m",3170001
"Coatings & Inks","Rest of the Records","2018-08-25","4.5m - 5m",4968000
"Specialty Materials","Rest of the Records","2018-02-26","3m - 3.5m",3232001
"Textiles","Rest of the Records","2021-02-14","2.5m - 3m",2577001
"Paper & Packaging","Rest of the Records","2021-04-15","2m - 2.5m",2121001
"Specialty Materials","Rest of the Records","2018-06-18","4.5m - 5m",4776000
"Coatings & Inks","Rest of the Records","2017-12-21","3m - 3.5m",3193001
"Textiles","Rest of the Records","2018-02-26","1m - 1.5m",1086000
"Specialty Materials","Rest of the Records","2019-11-26","3.5m - 4m",3925001
"Paper & Packaging","Rest of the Records","2018-03-14","1m - 1.5m",1363000
"Coatings & Inks","Rest of the Records","2020-09-20","2.5m - 3m",2929001
"Textiles","Rest of the Records","2018-12-11","3m - 3.5m",3482001
"Coatings & Inks","Rest of the Records","2020-07-03","2.5m - 3m",2887001
"Paper & Packaging","Rest of the Records","2020-07-24","1.5m - 2m",1997001
"Textiles","Rest of the Records","2021-02-21","2.5m - 3m",2852001
"Specialty Materials","Rest of the Records","2020-07-16","3.5m - 4m",3768001
"Specialty Materials","Rest of the Records","2018-08-13","4.5m - 5m",4743000
"Coatings & Inks","Rest of the Records","2020-01-11","4.5m - 5m",4776000
"Textiles","Rest of the Records","2020-01-19","1m - 1.5m",1228000
"Paper & Packaging","Rest of the Records","2021-04-23","2m - 2.5m",2166001
"Specialty Materials","Rest of the Records","2018-05-26","1.5m - 2m",1991001
"Paper & Packaging","Rest of the Records","2019-08-07","4m - 4.5m",4292001
"Coatings & Inks","Rest of the Records","2020-05-29","2m - 2.5m",2053001
"Textiles","Rest of the Records","2019-11-18","3m - 3.5m",3465001
"Paper & Packaging","Rest of the Records","2017-06-28","2m - 2.5m",2158001
"Specialty Materials","Rest of the Records","2018-11-25","4.5m - 5m",4741000
"Coatings & Inks","Rest of the Records","2019-10-23","2m - 2.5m",2088001
"Textiles","Rest of the Records","2019-08-16","4m - 4.5m",4298001
"Coatings & Inks","Rest of the Records","2019-07-24","1.5m - 2m",1538001
"Textiles","Rest of the Records","2019-07-25","1m - 1.5m",1377000
"Paper & Packaging","Rest of the Records","2019-08-24","3m - 3.5m",3322001
"Specialty Materials","Rest of the Records","2019-12-29","3.5m - 4m",3951001
"Paper & Packaging","Rest of the Records","2019-09-25","1.5m - 2m",1502001
"Coatings & Inks","Rest of the Records","2020-06-16","3.5m - 4m",3929001
"Specialty Materials","Rest of the Records","2019-04-01","4m - 4.5m",4189001
"Textiles","Rest of the Records","2021-01-14","3.5m - 4m",3743001
"Textiles","Rest of the Records","2017-08-21","2.5m - 3m",2741001
"Specialty Materials","Rest of the Records","2021-04-26","2.5m - 3m",2515001
"Coatings & Inks","Rest of the Records","2020-06-07","1m - 1.5m",1295000
"Paper & Packaging","Rest of the Records","2018-04-28","1m - 1.5m",1207000
"Paper & Packaging","Rest of the Records","2018-01-01","4m - 4.5m",4442001
"Specialty Materials","Rest of the Records","2020-08-02","4.5m - 5m",4956000
"Textiles","Rest of the Records","2018-03-15","3.5m - 4m",3984001
"Coatings & Inks","Current Month","2021-09-23","2m - 2.5m",2383001
"Specialty Materials","Rest of the Records","2017-11-12","2m - 2.5m",2059001
"Paper & Packaging","Three Months Ago","2021-06-01","4.5m - 5m",4915000
"Textiles","Four Months Ago","2021-05-16","2m - 2.5m",2373001
"Coatings & Inks","Rest of the Records","2019-03-21","3m - 3.5m",3347001
"Specialty Materials","One Month Ago","2021-08-30","1.5m - 2m",1588001
"Textiles","Rest of the Records","2020-12-16","2.5m - 3m",2786001
"Coatings & Inks","Rest of the Records","2020-02-05","4m - 4.5m",4130001
"Paper & Packaging","Two Months Ago","2021-07-14","3m - 3.5m",3125001
"Textiles","Rest of the Records","2019-05-24","3m - 3.5m",3263001
"Coatings & Inks","Rest of the Records","2018-03-14","1m - 1.5m",1440000
"Specialty Materials","Rest of the Records","2018-02-01","3.5m - 4m",3915001
"Paper & Packaging","Rest of the Records","2018-11-26","1.5m - 2m",1752001
"Specialty Materials","Rest of the Records","2018-09-12","4m - 4.5m",4204001
"Coatings & Inks","Rest of the Records","2020-06-01","2.5m - 3m",2836001
"Textiles","Rest of the Records","2018-09-14","1m - 1.5m",1392000
"Paper & Packaging","Rest of the Records","2018-08-29","3m - 3.5m",3121001
"Textiles","Rest of the Records","2017-11-08","2.5m - 3m",2756001
"Specialty Materials","Rest of the Records","2020-11-12","2m - 2.5m",2238001
"Coatings & Inks","Rest of the Records","2020-05-17","2m - 2.5m",2435001
"Paper & Packaging","Rest of the Records","2017-12-31","4m - 4.5m",4006001
"Specialty Materials","Rest of the Records","2020-08-13","1m - 1.5m",1417000
"Coatings & Inks","Rest of the Records","2020-12-25","4m - 4.5m",4266001
"Textiles","Rest of the Records","2019-07-05","1.5m - 2m",1948001
"Paper & Packaging","Rest of the Records","2021-02-06","4.5m - 5m",4893000
"Specialty Materials","Rest of the Records","2020-05-06","2m - 2.5m",2140001
"Paper & Packaging","Rest of the Records","2017-08-21","2.5m - 3m",2729001
"Coatings & Inks","Rest of the Records","2019-11-13","3.5m - 4m",3716001
"Textiles","Rest of the Records","2018-08-06","4.5m - 5m",4624000
"Textiles","Rest of the Records","2019-06-12","3m - 3.5m",3404001
"Coatings & Inks","Rest of the Records","2021-03-13","3m - 3.5m",3122001
"Paper & Packaging","Rest of the Records","2017-11-14","4m - 4.5m",4473001
"Specialty Materials","Rest of the Records","2019-07-05","3.5m - 4m",3695001
"Specialty Materials","Rest of the Records","2017-07-10","3m - 3.5m",3245001
"Coatings & Inks","Rest of the Records","2021-02-15","4.5m - 5m",4822000
"Textiles","Rest of the Records","2019-05-20","3.5m - 4m",3998001
"Paper & Packaging","Rest of the Records","2020-09-16","1m - 1.5m",1345000
"Specialty Materials","Rest of the Records","2017-10-25","4.5m - 5m",4798000
"Textiles","Rest of the Records","2020-08-26","3.5m - 4m",3511001
"Paper & Packaging","Rest of the Records","2017-09-28","2.5m - 3m",2963001
"Coatings & Inks","Rest of the Records","2020-05-02","1.5m - 2m",1633001
"Paper & Packaging","Rest of the Records","2020-09-08","1.5m - 2m",1861001
"Specialty Materials","Rest of the Records","2021-01-14","3m - 3.5m",3062001
"Textiles","Rest of the Records","2020-01-16","1m - 1.5m",1342000
"Coatings & Inks","Rest of the Records","2019-08-16","2m - 2.5m",2195001
"Coatings & Inks","Rest of the Records","2018-12-09","2.5m - 3m",2920001
"Specialty Materials","Rest of the Records","2017-07-28","4m - 4.5m",4458001
"Paper & Packaging","Rest of the Records","2017-11-04","2m - 2.5m",2069001
"Textiles","Rest of the Records","2021-03-26","1.5m - 2m",1923001
"Textiles","Rest of the Records","2019-05-17","4.5m - 5m",4690000
"Specialty Materials","Rest of the Records","2020-12-02","2m - 2.5m",2051001
"Coatings & Inks","Rest of the Records","2017-06-26","3m - 3.5m",3328001
"Paper & Packaging","Rest of the Records","2019-04-25","1m - 1.5m",1183000
"Coatings & Inks","Rest of the Records","2020-09-01","1.5m - 2m",1781001
"Paper & Packaging","Rest of the Records","2019-05-03","2.5m - 3m",2514001
"Specialty Materials","Rest of the Records","2020-05-03","4m - 4.5m",4443001
"Textiles","Rest of the Records","2018-10-10","3.5m - 4m",3635001
"Specialty Materials","Rest of the Records","2017-07-01","3.5m - 4m",3561001
"Paper & Packaging","Rest of the Records","2018-08-03","2.5m - 3m",2645001
"Coatings & Inks","Two Months Ago","2021-07-31","2m - 2.5m",2431001
"Textiles","Rest of the Records","2020-06-12","4.5m - 5m",4937000
"Specialty Materials","Rest of the Records","2019-01-16","3m - 3.5m",3304001
"Paper & Packaging","Current Month","2021-09-11","3m - 3.5m",3372001
"Coatings & Inks","Three Months Ago","2021-06-09","3m - 3.5m",3211001
"Textiles","Rest of the Records","2020-08-06","1.5m - 2m",1817001
"Specialty Materials","Four Months Ago","2021-05-10","1m - 1.5m",1116000
"Textiles","One Month Ago","2021-08-31","1.5m - 2m",1590001
"Paper & Packaging","Rest of the Records","2020-12-14","2m - 2.5m",2100001
"Coatings & Inks","Rest of the Records","2017-06-19","1m - 1.5m",1380000
"Paper & Packaging","Rest of the Records","2019-08-13","3m - 3.5m",3313001
"Coatings & Inks","Rest of the Records","2017-07-05","4.5m - 5m",4992000
"Textiles","Rest of the Records","2017-05-31","2m - 2.5m",2105001
"Specialty Materials","Rest of the Records","2020-10-16","3.5m - 4m",3927001
"Paper & Packaging","Rest of the Records","2019-11-08","2.5m - 3m",2632001
"Textiles","Rest of the Records","2017-11-04","4m - 4.5m",4063001
"Coatings & Inks","Rest of the Records","2017-07-02","4m - 4.5m",4149001
"Specialty Materials","Rest of the Records","2018-02-25","4.5m - 5m",4703000
"Paper & Packaging","Rest of the Records","2020-01-16","3.5m - 4m",3625001
"Coatings & Inks","Rest of the Records","2020-01-26","1m - 1.5m",1022000
"Specialty Materials","Rest of the Records","2019-12-08","4m - 4.5m",4074001
"Textiles","Rest of the Records","2018-10-14","1.5m - 2m",1749001
"Paper & Packaging","Rest of the Records","2018-10-11","2m - 2.5m",2000001
"Textiles","Rest of the Records","2020-09-24","2.5m - 3m",2870001
"Specialty Materials","Rest of the Records","2018-12-02","1m - 1.5m",1332000
"Coatings & Inks","Rest of the Records","2018-03-16","2m - 2.5m",2279001
"Specialty Materials","Rest of the Records","2020-10-26","4.5m - 5m",4638000
"Textiles","Rest of the Records","2019-03-11","4m - 4.5m",4331001
"Paper & Packaging","Rest of the Records","2020-09-05","1m - 1.5m",1020000
"Coatings & Inks","Rest of the Records","2020-03-31","3.5m - 4m",3819001
"Paper & Packaging","Rest of the Records","2019-08-31","3m - 3.5m",3070001
"Textiles","Rest of the Records","2017-05-22","3.5m - 4m",3717001
"Coatings & Inks","Rest of the Records","2018-05-25","3m - 3.5m",3036001
"Specialty Materials","Rest of the Records","2017-07-26","1.5m - 2m",1756001
