"Period","CommercialSegment","PeriodStartDate","RevenueBucket","Revenue"
"Q2","Distribution","2021-05-05","3m - 3.5m",3121000
"Previous Year","Follower","2020-09-01","4m - 4.5m",4316001
"Q3","Commodity","2021-09-21","4m - 4.5m",4393001
"Q2","Innovator","2021-04-12","3m - 3.5m",3232000
"Rest of years","Commodity","2019-04-04","3m - 3.5m",3210000
"Rest of years","Follower","2018-08-14","4m - 4.5m",4244001
"Q3","Distribution","2021-09-20","3.5m - 4m",3856001
"Q3","Innovator","2021-09-23","3.5m - 4m",3923001
"Q2","Distribution","2021-04-20","4.5m - 5m",4880001
"Rest of years","Commodity","2019-01-19","4m - 4.5m",4033001
"Previous Year","Follower","2020-02-11","4m - 4.5m",4120001
"Q1","Innovator","2021-01-27","4m - 4.5m",4211001
"Q2","Distribution","2021-05-20","3m - 3.5m",3299000
"Q3","Follower","2021-09-11","4m - 4.5m",4004001
"Rest of years","Innovator","2017-01-10","3.5m - 4m",3855001
"Rest of years","Commodity","2017-07-12","3m - 3.5m",3214000
"Q2","Innovator","2021-04-17","3m - 3.5m",3335000
"Q3","Commodity","2021-07-18","3m - 3.5m",3155000
"Q3","Distribution","2021-07-26","4m - 4.5m",4132001
"Q2","Follower","2021-06-30","3m - 3.5m",3284000
"Rest of years","Follower","2019-11-09","3m - 3.5m",3340000
"Q1","Distribution","2021-01-17","4m - 4.5m",4147001
"Q3","Commodity","2021-08-23","3.5m - 4m",3897001
"Previous Year","Innovator","2020-05-29","4m - 4.5m",4024001
"Q2","Commodity","2021-04-05","3m - 3.5m",3485000
"Q2","Follower","2021-06-25","4m - 4.5m",4353001
"Q3","Innovator","2021-08-16","3.5m - 4m",3712001
"Rest of years","Distribution","2019-05-13","4m - 4.5m",4068001
"Rest of years","Distribution","2017-05-24","4.5m - 5m",4615001
"Q3","Commodity","2021-08-23","3m - 3.5m",3183000
"Rest of years","Innovator","2017-06-23","4.5m - 5m",4555001
"Q2","Follower","2021-05-04","3m - 3.5m",3067000
"Q1","Distribution","2021-02-28","4m - 4.5m",4392001
"Q2","Innovator","2021-06-27","3m - 3.5m",3500000
"Rest of years","Commodity","2017-10-12","3m - 3.5m",3096000
"Previous Year","Follower","2020-04-12","4m - 4.5m",4116001
"Rest of years","Innovator","2017-06-04","3.5m - 4m",3852001
"Q3","Follower","2021-07-17","4m - 4.5m",4222001
"Q3","Distribution","2021-09-11","4m - 4.5m",4110001
"Q2","Commodity","2021-04-02","3.5m - 4m",3609001
"Rest of years","Distribution","2019-02-05","3m - 3.5m",3272000
"Q2","Innovator","2021-04-27","3m - 3.5m",3288000
"Q3","Commodity","2021-07-05","4m - 4.5m",4395001
"Previous Year","Follower","2020-04-23","3m - 3.5m",3216000
"Q1","Follower","2021-02-16","3m - 3.5m",3461000
"Q3","Distribution","2021-07-24","4.5m - 5m",4591001
"Rest of years","Commodity","2019-02-27","4m - 4.5m",4105001
"Rest of years","Innovator","2018-01-06","4m - 4.5m",4289001
"Q3","Commodity","2021-08-31","4m - 4.5m",4053001
"Q2","Distribution","2021-04-12","4m - 4.5m",4442001
"Q2","Follower","2021-06-27","3m - 3.5m",3463000
"Q3","Innovator","2021-09-08","3.5m - 4m",3793001
"Q2","Innovator","2021-05-13","3m - 3.5m",3305000
"Rest of years","Commodity","2018-10-30","3m - 3.5m",3360000
"Q2","Distribution","2021-06-21","3m - 3.5m",3441000
"Previous Year","Follower","2020-08-07","3.5m - 4m",3842001
"Q1","Distribution","2021-01-20","4m - 4.5m",4392001
"Q3","Innovator","2021-09-30","3.5m - 4m",3635001
"Q3","Commodity","2021-09-17","4m - 4.5m",4485001
"Q2","Follower","2021-04-03","3m - 3.5m",3307000
"Rest of years","Commodity","2018-11-13","4m - 4.5m",4034001
"Rest of years","Innovator","2018-11-15","3m - 3.5m",3493000
"Q3","Follower","2021-09-17","3m - 3.5m",3429000
"Rest of years","Distribution","2018-03-24","4m - 4.5m",4019001
"Q2","Follower","2021-05-17","3m - 3.5m",3011000
"Q2","Innovator","2021-04-26","3m - 3.5m",3329000
"Previous Year","Commodity","2020-10-04","4m - 4.5m",4068001
"Rest of years","Distribution","2018-04-29","3m - 3.5m",3190000
"Q1","Distribution","2021-01-13","4m - 4.5m",4306001
"Rest of years","Commodity","2018-06-22","4.5m - 5m",4620001
"Q3","Follower","2021-08-10","4m - 4.5m",4332001
"Q2","Innovator","2021-06-28","3m - 3.5m",3353000
"Q3","Innovator","2021-09-08","3.5m - 4m",3947001
"Q2","Distribution","2021-06-20","3.5m - 4m",3753001
"Q3","Follower","2021-09-08","4m - 4.5m",4381001
"Rest of years","Commodity","2018-12-04","3m - 3.5m",3013000
"Previous Year","Distribution","2020-06-05","4m - 4.5m",4456001
"Rest of years","Follower","2017-03-28","3m - 3.5m",3331000
"Q3","Innovator","2021-08-22","3.5m - 4m",3893001
"Q1","Commodity","2021-01-13","3m - 3.5m",3320000
"Rest of years","Follower","2017-11-15","4m - 4.5m",4267001
"Q3","Commodity","2021-08-25","3m - 3.5m",3213000
"Q2","Innovator","2021-04-04","3m - 3.5m",3346000
"Q2","Distribution","2021-05-27","4.5m - 5m",4861001
"Q2","Commodity","2021-04-23","3m - 3.5m",3012000
"Q3","Follower","2021-07-29","4m - 4.5m",4432001
"Rest of years","Distribution","2019-01-07","3m - 3.5m",3081000
"Q3","Innovator","2021-08-08","3.5m - 4m",3952001
"Q2","Innovator","2021-06-20","3m - 3.5m",3447000
"Previous Year","Commodity","2020-10-21","4m - 4.5m",4054001
"Rest of years","Follower","2019-03-16","3.5m - 4m",3586001
"Q3","Distribution","2021-09-15","3m - 3.5m",3105000
"Q2","Innovator","2021-05-11","3m - 3.5m",3032000
"Q1","Distribution","2021-03-09","4m - 4.5m",4481001
"Rest of years","Follower","2017-07-11","4m - 4.5m",4193001
"Q3","Commodity","2021-08-12","3m - 3.5m",3055000
"Rest of years","Innovator","2017-12-07","4m - 4.5m",4409001
"Q2","Follower","2021-05-15","4m - 4.5m",4437001
"Q2","Commodity","2021-05-10","3m - 3.5m",3224000
"Previous Year","Distribution","2020-07-24","4m - 4.5m",4176001
"Q3","Follower","2021-09-19","3m - 3.5m",3220000
"Rest of years","Commodity","2017-08-30","4m - 4.5m",4186001
"Q3","Distribution","2021-07-09","4.5m - 5m",4640001
"Rest of years","Innovator","2019-12-23","3m - 3.5m",3379000
"Q2","Follower","2021-05-11","3m - 3.5m",3010000
"Q1","Innovator","2021-03-30","3.5m - 4m",3513001
"Rest of years","Commodity","2017-12-24","4m - 4.5m",4030001
"Q3","Distribution","2021-07-04","3.5m - 4m",3690001
"Q2","Innovator","2021-05-02","3m - 3.5m",3488000
"Rest of years","Distribution","2017-10-19","4m - 4.5m",4020001
"Q2","Commodity","2021-05-28","3m - 3.5m",3272000
"Previous Year","Follower","2020-02-10","3m - 3.5m",3034000
"Q1","Commodity","2021-03-25","4m - 4.5m",4393001
"Q3","Distribution","2021-07-29","4m - 4.5m",4218001
"Q3","Follower","2021-08-12","3m - 3.5m",3484000
"Rest of years","Innovator","2018-06-07","4m - 4.5m",4106001
"Q2","Commodity","2021-04-26","4m - 4.5m",4361001
"Rest of years","Distribution","2019-05-13","3m - 3.5m",3102000
"Q3","Follower","2021-07-16","4.5m - 5m",4599001
"Q2","Innovator","2021-06-24","3m - 3.5m",3460000
"Q2","Follower","2021-06-27","3m - 3.5m",3193000
"Q3","Innovator","2021-09-05","3.5m - 4m",3528001
"Previous Year","Commodity","2020-07-11","3.5m - 4m",3917001
"Q1","Distribution","2021-01-09","4m - 4.5m",4352001
"Q2","Distribution","2021-05-11","3m - 3.5m",3286000
"Q3","Follower","2021-09-30","4m - 4.5m",4200001
"Rest of years","Innovator","2018-06-13","4m - 4.5m",4184001
"Rest of years","Commodity","2018-09-01","4m - 4.5m",4272001
"Q3","Commodity","2021-09-01","4m - 4.5m",4324001
"Q2","Distribution","2021-05-20","3m - 3.5m",3119000
"Rest of years","Innovator","2018-12-04","3m - 3.5m",3194000
"Previous Year","Follower","2020-10-09","3m - 3.5m",3314000
"Q2","Innovator","2021-05-20","3m - 3.5m",3105000
"Q3","Distribution","2021-07-03","4m - 4.5m",4198001
"Q1","Commodity","2021-01-02","4m - 4.5m",4473001
"Q2","Follower","2021-04-03","3m - 3.5m",3444000
"Rest of years","Distribution","2018-12-25","4m - 4.5m",4278001
"Q3","Commodity","2021-07-20","4.5m - 5m",4561001
"Rest of years","Innovator","2017-02-27","3.5m - 4m",3599001
"Rest of years","Follower","2018-09-22","3.5m - 4m",3691001
"Q3","Innovator","2021-07-20","3.5m - 4m",3592001
"Q2","Commodity","2021-06-10","4m - 4.5m",4484001
"Previous Year","Follower","2020-07-06","3m - 3.5m",3178000
"Q3","Distribution","2021-09-03","3m - 3.5m",3362000
"Q2","Innovator","2021-06-20","3m - 3.5m",3156000
"Q1","Follower","2021-02-19","3m - 3.5m",3295000
"Q2","Commodity","2021-04-24","4m - 4.5m",4161001
"Q3","Distribution","2021-07-14","3m - 3.5m",3116000
"Rest of years","Follower","2018-03-08","4m - 4.5m",4260001
"Rest of years","Commodity","2017-07-07","4m - 4.5m",4003001
"Rest of years","Distribution","2017-11-23","3m - 3.5m",3481000
"Q2","Innovator","2021-05-25","3m - 3.5m",3160000
"Q3","Innovator","2021-07-01","3.5m - 4m",3572001
"Q3","Distribution","2021-07-13","4m - 4.5m",4341001
"Rest of years","Commodity","2019-12-26","3m - 3.5m",3456000
"Previous Year","Follower","2020-10-15","3.5m - 4m",3877001
"Q2","Commodity","2021-04-30","4.5m - 5m",4547001
"Q2","Distribution","2021-05-11","3m - 3.5m",3333000
"Rest of years","Follower","2017-04-21","4m - 4.5m",4197001
"Q3","Innovator","2021-09-23","3.5m - 4m",3565001
"Q1","Innovator","2021-02-27","4m - 4.5m",4211001
"Rest of years","Commodity","2019-04-07","4m - 4.5m",4310001
"Q2","Follower","2021-04-04","3m - 3.5m",3420000
"Q3","Distribution","2021-09-14","4m - 4.5m",4365001
"Q1","Innovator","2021-01-02","3m - 3.5m",3192000
"Previous Year","Distribution","2020-02-06","3m - 3.5m",3482000
"Rest of years","Follower","2018-05-13","4m - 4.5m",4497001
"Q2","Commodity","2021-05-12","4m - 4.5m",4243001
"Q3","Commodity","2021-08-26","3m - 3.5m",3072000
"Q2","Distribution","2021-04-17","4m - 4.5m",4236001
"Rest of years","Follower","2018-10-29","3.5m - 4m",3976001
"Q3","Innovator","2021-08-14","3.5m - 4m",3731001
"Q2","Commodity","2021-05-16","4m - 4.5m",4188001
"Q3","Follower","2021-07-18","3m - 3.5m",3131000
"Rest of years","Innovator","2017-06-14","4m - 4.5m",4434001
"Q1","Distribution","2021-03-12","4.5m - 5m",4769001
"Q3","Follower","2021-09-16","4m - 4.5m",4273001
"Q2","Commodity","2021-04-15","3m - 3.5m",3040000
"Previous Year","Innovator","2020-11-15","4m - 4.5m",4003001
"Q2","Distribution","2021-04-20","3m - 3.5m",3294000
"Q3","Commodity","2021-07-29","3m - 3.5m",3484000
"Rest of years","Distribution","2017-03-13","4m - 4.5m",4258001
"Rest of years","Innovator","2019-02-21","3.5m - 4m",3960001
"Rest of years","Follower","2017-03-26","4m - 4.5m",4095001
"Q3","Commodity","2021-07-03","4m - 4.5m",4434001
"Q2","Innovator","2021-05-08","3m - 3.5m",3321000
"Previous Year","Follower","2020-11-07","3.5m - 4m",3584001
"Q1","Distribution","2021-02-03","3m - 3.5m",3423000
"Q2","Distribution","2021-05-07","4m - 4.5m",4284001
"Q3","Follower","2021-08-06","3m - 3.5m",3368000
"Rest of years","Commodity","2017-04-01","4m - 4.5m",4109001
"Q3","Innovator","2021-08-02","3.5m - 4m",3798001
"Rest of years","Innovator","2019-06-05","4m - 4.5m",4155001
"Q2","Follower","2021-06-15","3m - 3.5m",3078000
"Q2","Distribution","2021-04-10","4m - 4.5m",4056001
"Rest of years","Commodity","2018-01-13","4.5m - 5m",4827001
"Q3","Commodity","2021-08-02","4m - 4.5m",4109001
"Q2","Distribution","2021-06-13","3m - 3.5m",3290000
"Rest of years","Innovator","2017-06-13","3m - 3.5m",3451000
"Q3","Follower","2021-07-13","3m - 3.5m",3030000
"Previous Year","Commodity","2020-12-22","3m - 3.5m",3278000
"Q1","Innovator","2021-02-17","4m - 4.5m",4359001
"Q3","Follower","2021-09-30","4m - 4.5m",4007001
"Q2","Distribution","2021-05-30","3m - 3.5m",3375000
"Rest of years","Innovator","2018-06-27","4m - 4.5m",4281001
"Q2","Follower","2021-05-02","3.5m - 4m",3580001
"Rest of years","Commodity","2019-03-04","4m - 4.5m",4357001
"Q3","Distribution","2021-09-03","3m - 3.5m",3172000
"Q3","Follower","2021-07-01","4m - 4.5m",4361001
"Rest of years","Distribution","2017-10-02","3m - 3.5m",3094000
"Previous Year","Commodity","2020-02-28","4m - 4.5m",4028001
"Q2","Innovator","2021-05-19","3m - 3.5m",3328000
"Rest of years","Follower","2017-09-23","4.5m - 5m",4694001
"Q2","Commodity","2021-04-12","3m - 3.5m",3030000
"Q1","Distribution","2021-03-09","4m - 4.5m",4089001
"Q3","Innovator","2021-09-05","3.5m - 4m",3535001
"Q3","Distribution","2021-08-26","4m - 4.5m",4405001
"Q2","Commodity","2021-05-01","3m - 3.5m",3167000
"Rest of years","Follower","2017-09-06","3.5m - 4m",3619001
"Q3","Innovator","2021-08-27","3.5m - 4m",3554001
"Q2","Distribution","2021-04-18","3m - 3.5m",3416000
"Rest of years","Innovator","2017-06-08","3.5m - 4m",3698001
"Previous Year","Commodity","2020-10-01","4m - 4.5m",4121001
"Q1","Follower","2021-01-20","4m - 4.5m",4211001
"Q3","Follower","2021-09-05","4m - 4.5m",4339001
"Rest of years","Distribution","2019-11-26","3m - 3.5m",3270000
"Q2","Innovator","2021-06-15","3m - 3.5m",3141000
"Rest of years","Commodity","2017-05-08","4m - 4.5m",4289001
"Q2","Commodity","2021-05-18","3m - 3.5m",3060000
"Q3","Follower","2021-08-07","3m - 3.5m",3255000
"Previous Year","Distribution","2020-12-15","4.5m - 5m",4744001
"Q1","Innovator","2021-02-06","3.5m - 4m",3993001
"Q3","Innovator","2021-09-25","3.5m - 4m",3670001
"Q2","Follower","2021-05-01","4m - 4.5m",4344001
"Q2","Commodity","2021-05-21","3.5m - 4m",3634001
"Q3","Distribution","2021-09-09","4m - 4.5m",4298001
"Rest of years","Commodity","2017-02-14","4m - 4.5m",4171001
"Rest of years","Innovator","2019-07-06","4m - 4.5m",4088001
"Rest of years","Follower","2017-07-30","3m - 3.5m",3076000
"Q3","Distribution","2021-08-10","3m - 3.5m",3369000
"Q2","Follower","2021-05-18","3m - 3.5m",3111000
"Previous Year","Commodity","2020-08-05","4m - 4.5m",4034001
"Q1","Innovator","2021-03-06","4m - 4.5m",4005001
"Q3","Distribution","2021-09-12","4m - 4.5m",4169001
"Rest of years","Innovator","2019-10-26","3m - 3.5m",3499000
"Q3","Commodity","2021-09-04","3m - 3.5m",3007000
"Rest of years","Distribution","2019-01-13","4m - 4.5m",4130001
"Q2","Follower","2021-05-29","3m - 3.5m",3250000
"Q2","Commodity","2021-04-12","4m - 4.5m",4365001
"Q2","Follower","2021-06-22","4.5m - 5m",4698001
"Q3","Distribution","2021-09-23","3.5m - 4m",3845001
"Rest of years","Innovator","2018-03-05","3m - 3.5m",3212000
"Q3","Follower","2021-08-18","3m - 3.5m",3270000
"Q2","Distribution","2021-04-12","3m - 3.5m",3355000
"Q1","Innovator","2021-01-27","3m - 3.5m",3160000
"Rest of years","Commodity","2018-09-30","4m - 4.5m",4046001
"Q2","Innovator","2021-05-30","3m - 3.5m",3230000
"Rest of years","Distribution","2019-10-28","3m - 3.5m",3074000
"Q3","Follower","2021-07-05","4m - 4.5m",4497001
"Previous Year","Commodity","2020-07-18","4m - 4.5m",4444001
"Q3","Commodity","2021-07-16","4m - 4.5m",4493001
"Q2","Innovator","2021-04-28","3m - 3.5m",3466000
"Rest of years","Distribution","2017-03-10","3m - 3.5m",3323000
"Q2","Follower","2021-06-17","3m - 3.5m",3067000
"Previous Year","Innovator","2020-09-14","4m - 4.5m",4449001
"Rest of years","Commodity","2018-07-02","4m - 4.5m",4319001
"Q1","Follower","2021-02-15","4m - 4.5m",4133001
"Q3","Distribution","2021-09-13","3.5m - 4m",3756001
"Q3","Innovator","2021-07-26","3.5m - 4m",3888001
"Q2","Follower","2021-06-22","4m - 4.5m",4120001
"Rest of years","Commodity","2019-05-09","4.5m - 5m",4948001
"Q2","Distribution","2021-05-24","4m - 4.5m",4049001
"Rest of years","Distribution","2018-04-28","3m - 3.5m",3312000
"Q3","Follower","2021-07-20","3m - 3.5m",3305000
"Q3","Commodity","2021-07-04","4m - 4.5m",4494001
"Rest of years","Innovator","2019-01-21","4m - 4.5m",4468001
"Q1","Follower","2021-03-25","3m - 3.5m",3125000
"Previous Year","Innovator","2020-02-20","4m - 4.5m",4060001
"Q3","Distribution","2021-07-06","3m - 3.5m",3004000
"Rest of years","Commodity","2019-06-21","4m - 4.5m",4352001
"Q2","Follower","2021-06-18","4m - 4.5m",4317001
"Q2","Innovator","2021-06-24","3m - 3.5m",3068000
"Q2","Distribution","2021-04-01","3m - 3.5m",3111000
"Rest of years","Commodity","2019-11-08","3m - 3.5m",3350000
"Q3","Follower","2021-09-03","3.5m - 4m",3739001
"Q1","Commodity","2021-01-25","4m - 4.5m",4466001
"Q2","Innovator","2021-05-24","3m - 3.5m",3275000
"Previous Year","Distribution","2020-01-23","3m - 3.5m",3213000
"Q3","Innovator","2021-07-21","3.5m - 4m",3716001
"Q2","Commodity","2021-04-23","4.5m - 5m",4691001
"Q3","Distribution","2021-08-30","4m - 4.5m",4388001
"Rest of years","Follower","2017-10-09","4m - 4.5m",4378001
"Rest of years","Distribution","2017-07-09","4m - 4.5m",4165001
"Q3","Innovator","2021-08-16","3.5m - 4m",3746001
"Q2","Follower","2021-04-29","3m - 3.5m",3042000
"Rest of years","Commodity","2018-10-15","4m - 4.5m",4193001
"Previous Year","Distribution","2020-09-09","3m - 3.5m",3211000
"Q2","Follower","2021-06-19","3m - 3.5m",3469000
"Q3","Innovator","2021-09-21","3.5m - 4m",3583001
"Rest of years","Commodity","2018-11-02","4m - 4.5m",4138001
"Q3","Innovator","2021-07-27","3.5m - 4m",3981001
"Rest of years","Commodity","2019-11-02","3.5m - 4m",3775001
"Q1","Follower","2021-03-15","3m - 3.5m",3099000
"Q2","Distribution","2021-04-04","4m - 4.5m",4218001
"Q3","Commodity","2021-09-17","4m - 4.5m",4164001
"Q2","Follower","2021-05-31","4.5m - 5m",4641001
"Rest of years","Distribution","2018-04-05","3m - 3.5m",3322000
"Q3","Innovator","2021-09-07","3.5m - 4m",3662001
"Q2","Commodity","2021-05-07","4m - 4.5m",4210001
"Q1","Follower","2021-03-15","3m - 3.5m",3419000
"Rest of years","Innovator","2019-08-11","3m - 3.5m",3436000
"Q3","Distribution","2021-07-23","3m - 3.5m",3124000
"Rest of years","Commodity","2018-07-13","4m - 4.5m",4209001
"Q2","Distribution","2021-06-24","4m - 4.5m",4282001
"Previous Year","Innovator","2020-07-21","4m - 4.5m",4334001
"Q3","Follower","2021-07-02","3.5m - 4m",3817001
"Q2","Follower","2021-06-08","3m - 3.5m",3148000
"Rest of years","Commodity","2018-01-27","4m - 4.5m",4019001
"Q3","Distribution","2021-09-15","4m - 4.5m",4287001
"Previous Year","Innovator","2020-04-21","4m - 4.5m",4110001
"Rest of years","Distribution","2018-02-17","3m - 3.5m",3311000
"Q1","Follower","2021-02-11","4m - 4.5m",4148001
"Q3","Commodity","2021-08-04","4.5m - 5m",4705001
"Rest of years","Innovator","2018-09-12","3.5m - 4m",3614001
"Q2","Follower","2021-06-15","3m - 3.5m",3115000
"Q2","Commodity","2021-05-31","4m - 4.5m",4206001
"Q2","Innovator","2021-06-27","3m - 3.5m",3065000
"Rest of years","Distribution","2019-03-14","3m - 3.5m",3191000
"Q3","Commodity","2021-09-13","3m - 3.5m",3037000
"Q2","Distribution","2021-04-28","4m - 4.5m",4426001
"Q3","Innovator","2021-07-22","3.5m - 4m",3545001
"Rest of years","Follower","2017-04-21","3m - 3.5m",3038000
"Previous Year","Distribution","2020-05-22","4m - 4.5m",4311001
"Q2","Follower","2021-04-05","3.5m - 4m",3527001
"Q1","Commodity","2021-02-24","3m - 3.5m",3090000
"Rest of years","Innovator","2019-06-29","4m - 4.5m",4405001
"Q3","Commodity","2021-07-03","4m - 4.5m",4448001
"Q2","Follower","2021-05-27","4m - 4.5m",4339001
"Rest of years","Innovator","2019-10-26","3m - 3.5m",3264000
"Q3","Distribution","2021-09-13","3m - 3.5m",3263000
"Q2","Distribution","2021-05-25","4m - 4.5m",4159001
"Rest of years","Innovator","2019-07-27","4m - 4.5m",4134001
"Previous Year","Follower","2020-06-22","3m - 3.5m",3386000
"Q3","Commodity","2021-07-13","4.5m - 5m",4729001
"Q1","Distribution","2021-03-25","3m - 3.5m",3447000
"Rest of years","Innovator","2017-03-31","3.5m - 4m",3867001
"Q2","Commodity","2021-04-29","4m - 4.5m",4464001
"Q3","Follower","2021-09-08","3m - 3.5m",3428000
"Q3","Commodity","2021-09-08","4m - 4.5m",4055001
"Q2","Distribution","2021-04-27","3m - 3.5m",3003000
"Rest of years","Innovator","2019-03-20","4.5m - 5m",4781001
"Previous Year","Follower","2020-01-06","3.5m - 4m",3713001
"Q2","Innovator","2021-05-27","3m - 3.5m",3020000
"Q3","Commodity","2021-09-15","4m - 4.5m",4033001
"Rest of years","Distribution","2018-01-14","4m - 4.5m",4106001
"Q2","Follower","2021-04-12","4m - 4.5m",4333001
"Q3","Innovator","2021-07-29","3.5m - 4m",3896001
"Rest of years","Distribution","2019-11-09","3m - 3.5m",3396000
"Q1","Commodity","2021-03-31","4m - 4.5m",4237001
"Rest of years","Follower","2018-08-20","3m - 3.5m",3289000
"Q3","Distribution","2021-08-08","4.5m - 5m",4652001
"Q2","Innovator","2021-04-01","3m - 3.5m",3356000
"Q3","Commodity","2021-08-26","4m - 4.5m",4006001
"Previous Year","Follower","2020-05-28","3m - 3.5m",3316000
"Q2","Follower","2021-06-18","3m - 3.5m",3195000
"Rest of years","Innovator","2019-01-11","4m - 4.5m",4066001
"Rest of years","Commodity","2017-10-06","3.5m - 4m",3680001
"Q1","Distribution","2021-03-04","4m - 4.5m",4240001
